2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.scr/org.apache.karaf.scr.management/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.scr/org.apache.karaf.scr.state/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.2.7
2021-01-04T16:31:23,353 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.7
